,Set Size,
rnd_tag_0,1,1
rnd_tag_16,1,1
tag_cetd_0,1,1
tag_cetd_16,1,1
rnd_tag_1,16,15
rnd_tag_15,16,15
tag_cetd_1,16,15
tag_cetd_15,16,15
rnd_tag_14,120,95
rnd_tag_2,120,95
tag_cetd_14,120,90
tag_cetd_2,120,90
rnd_tag_13,560,225
rnd_tag_3,560,226
tag_cetd_13,560,215
tag_cetd_3,560,216
rnd_tag_12,1820,254
rnd_tag_4,1820,253
tag_cetd_12,1820,252
tag_cetd_4,1820,251
rnd_tag_11,4368,255
rnd_tag_5,4368,255
tag_cetd_11,4368,254
tag_cetd_5,4368,254
rnd_tag_10,8008,255
rnd_tag_6,8008,255
tag_cetd_10,8008,254
tag_cetd_6,8008,254
rnd_tag_7,11440,254
rnd_tag_9,11440,254
tag_cetd_7,11440,254
tag_cetd_9,11440,253
rnd_tag_8,12870,255
tag_cetd_8,12870,254
